Мамлекеттик бюджеттин чыгашалары;Расходы государственного бюджета ;The state budget expenditures;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
(млн. сом);(млн. сомов);(mln. soms);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
К?рс?тк?чт?рд?н аталышы;Наименование показателей;Items;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Кыргыз Республикасы1);Кыргызская Республика1);Kyrgyz Republic1);25 296,6;35 859,4;45 032,0;58 628,2;68 781,2;91 544,1;107 240,4;104 271,3;121 303,7;134 572,2;151 558,9;166 023,6;157 796,0;167 843,9;171 873,9;211 700,8;311 142,3;379 455,9;427 035,0;622 978,1
Баткен облусу;Баткенская область;Batken oblast;418,5;543,1;703,1;854,9;936,2;1 459,1;1 795,1;1 472,4;826,2;792,7;851,5;903,7;1 031,0;1 079,5;1 021,1;1 166,5;1 319,6;1 913,1;1 891,8;2 733,8
Жалал-Абад облусу;Джалал-Абадская область;Jalal-Abat oblast;932,2;1 254,4;1 631,5;1 992,1;2 292,3;3 324,9;3 796,4;2 939,8;1 682,1;1 863,2;2 014,8;2 015,2;2 359,0;2 538,1;2 332,1;2 956,8;4 119,0;6 857,1;7 397,5;10 949,5
Ысык-К?л облусу;Иссык-Кульская область;Yssyk-Kul oblast;613,5;679,1;929,4;1 127,0;1 040,9;1 522,6;1 691,7;1 487,8;1 044,7;1 097,0;1 120,9;1 185,1;1 257,4;1 373,4;1 311,5;1 688,4;2 693,7;3 571,1;4 621,3;4 061,3
Нарын облусу;Нарынская область;Naryn oblast;389,1;450,8;665,5;776,1;831,8;1 434,8;1 605,4;1 209,0;649,8;715,9;711,7;780,1;884,5;883,7;829,5;972,2;1 238,9;1 917,7;1 790,2;2 268,0
Ош облусу;Ошская область;Osh oblast;1 046,7;1 108,8;1 699,4;1 998,7;2 149,2;3 220,7;3 638,0;2 832,2;1 525,6;1 639,8;1 704,3;1 889,9;2 287,7;2 292,5;1 974,8;2 601,4;3 297,2;4 222,2;4 293,9;4 881,8
Талас облусу;Таласская область;Talas oblast;257,5;312,8;409,2;459,8;513,8;827,5;937,5;718,1;370,3;447,1;438,3;515,5;589,5;601,4;527,6;719,8;849,5;1 371,9;1 984,0;2 046,4
Ч?й облусу ;Чуйская область;Chui oblast;1 103,8;1 195,7;1 710,3;1 887,6;2 006,1;2 712,9;2 987,4;2 752,3;2 187,5;2 419,1;2 295,0;2 431,0;2 499,9;2 838,2;2 639,1;3 190,4;4 058,1;5 239,8;6 541,3;7 157,7
Бишкек ш.;г.Бишкек;Bishkek City;1 833,1;2 913,3;4 019,5;4 530,9;4 770,7;5 755,8;5 768,6;6 191,0;6 558,0;7 280,6;7 367,9;8 360,3;7 764,9;8 506,6;8 184,1;9 418,5;14 493,3;22 518,3;33 491,0;30 566,7
Ош ш.;г.Ош;Osh City;274,6;381,0;529,8;651,0;797,8;1 162,2;1 475,6;1 130,6;1 004,0;1 011,1;1 109,2;1 308,9;1 270,3;1 365,9;1 356,2;1 574,7;2 177,0;2 958,8;3 348,4;9 499,8
;;;;;;;;;;;;;;;;;;;;;;
1) Кыргыз Республикасы боюнча бардык маалыматтар - мамлекеттик бюджет. Региондун жергиликт?? бюджеттери боюнча маалыматтар аймактар боюнча берилген.;1) Данные всего по Кыргызской Республике - государственный бюджет. По территории приведены данные по местным бюджетам региона.;1) Data for the Kyrgyz Republic - the state budget. The territory presents data on local budgets of a region.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
* 2025-ж. - оперативд?? маалыматтар.;* За 2025 год - оперативные данные.;* 2025 - operational data.;;;;;;;;;;;;;;;;;;;;
